Player name,Club Name,Matches played,Innings,Average,Batting Aggregate,Balls Faced,Not outs,50s scored,100s scored,Ducks,High Score,High Score Dismissal Status,Strike Rate,4s scored,6s scored,Wickets,Maidens,Runs scored,Balls Bowled,5 Wickets,Bowling Best Innings,Average,Strike Rate,Economy Rate,Wides,No balls,Catches Non Wicket Keeper,Catches Wicket Keeper,Total Catches,Run Outs Unassisted,Run Outs Assisted,Stumpings,Grade name,Association
"Manuel, Jack",Halls Head Cricket Club,20,18,52.67,790,843,3,5,2,1,108,true,93.71,94,33,0,0,0,0,0,0--0,,,,0,0,3,0,3,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Miles, Timothy",Halls Head Cricket Club,21,17,44,528,477,5,5,0,0,70,false,110.69,52,29,26,21,401,744,2,6--25,15.42,28.62,3.23,52,0,4,0,4,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Rudge, Josh",Halls Head Cricket Club,19,15,22,286,492,2,1,0,1,66,false,58.13,26,8,0,0,0,0,0,0--0,,,,0,0,3,0,3,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Wyllie, Jake",Halls Head Cricket Club,20,17,17.6,264,413,2,0,0,4,38,false,63.92,29,6,17,11,329,467,0,4--16,19.35,27.47,4.23,13,0,5,0,5,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Higton, Ben",Halls Head Cricket Club,21,10,29.75,238,423,2,0,0,0,46,false,56.26,25,1,25,33,418,933,0,3--6,16.72,37.32,2.69,13,5,2,0,2,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Little, Jarod",Halls Head Cricket Club,21,16,9.63,154,372,0,0,0,1,25,false,41.4,16,0,0,0,0,0,0,0--0,,,,0,0,0,16,16,0,2,2,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Caine, Travis",Halls Head Cricket Club,18,13,16.89,152,301,4,1,0,1,50,true,50.5,10,1,0,0,0,0,0,0--0,,,,0,0,4,0,4,0,1,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Barnes, Jacob",Halls Head Cricket Club,14,11,18.63,149,262,3,0,0,2,31,false,56.87,9,3,0,0,0,0,0,0--0,,,,0,0,2,0,2,0,1,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Doyle, Luca",Halls Head Cricket Club,16,6,14.6,73,139,1,0,0,0,27,false,52.52,2,3,24,26,307,711,0,3--8,12.79,29.63,2.59,10,0,2,0,2,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Higton, Freddie",Halls Head Cricket Club,4,2,43,43,50,1,0,0,0,25,true,86,5,1,3,0,48,49,0,3--35,16,16.33,5.88,1,1,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Felton, Mitchell",Halls Head Cricket Club,20,8,6.83,41,79,2,0,0,1,15,false,51.9,4,1,26,23,452,757,0,3--17,17.38,29.12,3.58,17,0,2,0,2,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Petrie, Jeffrey",Halls Head Cricket Club,4,3,16.5,33,54,1,0,0,0,18,true,61.11,6,0,0,0,0,0,0,--,,,,0,0,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Demmery, Jett",Halls Head Cricket Club,20,8,3.6,18,35,3,0,0,4,10,false,51.43,1,1,15,5,502,696,0,2--18,33.47,46.4,4.33,70,10,5,0,5,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Hysen, Lucius",Halls Head Cricket Club,1,1,15,15,38,0,0,0,0,15,false,39.47,1,0,0,0,0,0,0,--,,,,0,0,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Smith, Oscar",Halls Head Cricket Club,1,1,14,14,29,0,0,0,0,14,false,48.28,1,0,0,0,15,12,0,0--15,,,7.5,11,0,1,0,1,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Caine, Mitchell",Halls Head Cricket Club,12,4,3.5,14,36,0,0,0,0,5,false,38.89,0,0,9,11,210,381,0,3--40,23.33,42.33,3.31,16,4,4,0,4,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Phelps, Chris",Halls Head Cricket Club,4,0,,0,0,0,0,0,0,0,false,,0,0,4,1,53,110,0,2--16,13.25,27.5,2.89,0,0,0,0,0,1,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Naidoo, Wesley",Halls Head Cricket Club,1,1,0,0,3,0,0,0,1,0,false,0,0,0,0,1,7,24,0,0--7,,,1.75,0,0,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Kinna, Lachlan",Halls Head Cricket Club,1,0,,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,--,,,,0,0,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
"Malingre, Hudson",Halls Head Cricket Club,1,1,,0,3,1,0,0,0,0,true,0,0,0,1,0,36,30,0,1--36,36,30,7.2,2,0,0,0,0,0,0,0,A Grade Wyllie Cup,Peel Cricket Association Inc.
