# Halls Head Cricket Club — Honour Boards Content

_Handover document generated 28 May 2026_

This file contains the finalised content for two new pages on the Halls Head Cricket Club honour boards site:

1. **A Grade Cap Register** — chronological debut order of every A Grade player
2. **Life Members** — the 14 inductees with their biographical blurbs and induction years

Both pages are intended to be added as additional tabs in the existing honour boards interface, alongside Games / Runs / Wickets / Dismissals / High Scores / Best Bowling / Centurions / 5-Wicket Hauls / Search.

---

## Implementation Context

### Existing data files in `replit_app/data/`

- `cap_register.json` — 247 cap entries, already cross-referenced against player stats
- `life_members.json` — 14 life member entries with blurbs and stats hooks
- `players.json` — all 688 club players (cleaned, Elliot Ireland removed as a data error)
- `per_grade.json` — per-grade career stats for every player

### Cap Register entry shape

```json
{
  "cap_no": 1,
  "name": "Mark Rowe",
  "deceased": false,
  "in_stats": true,
  "player_id": "rowe__mark",   // null if no stats
  "games_a_grade": 140         // 0 if no stats
}
```

### Life Member entry shape

```json
{
  "name": "Paul Gillam",
  "year": 2000,
  "player_id": "gillam__paul",  // null for non-playing members
  "is_playing_member": true,
  "blurb": "Co-founder of...",  // markdown-like paragraphs separated by \n\n
  "role": "Scorer"              // only present for non-playing members
}
```

Playing members should also have their career stats rendered alongside the blurb. Stats can be looked up via `player_id` against `players.json` and `per_grade.json`.

---

## A Grade Cap Register Page

### Page header

**Title:** A Grade Cap Register

**Subtitle:** Every player to wear the cap for Halls Head Cricket Club in A Grade competition, in chronological order of debut. 247 caps issued — 156 with stats on record, 4 since deceased.

### Disclaimer card (display prominently at top)

**Heading:** About this register

**Body:**

> Cap numbers are assigned in chronological order of A Grade debut for Halls Head Cricket Club. Prior to the adoption of the digital scoring platforms **MyCricket** and **PlayHQ**, the club only retained statistics for players who had played 10 or more games. As a result, many of the players in this register — particularly those from the foundational era — have no statistical record despite having earned their A Grade cap. Their place in club history is honoured here regardless.

**Legend (display below the disclaimer):**

- ✓ stats available — green tag
- ○ no stats (pre-digital era) — grey/dimmed tag
- ✝ deceased — gold marker beside the player's name

### Data notes

- Cap numbers are sequential 1–247 (no gaps). One historical typo was corrected: Freddie Higton was originally listed as cap #235 (duplicate), now correctly cap #238.
- Cap #221 was originally listed as Aaron Burrage. Aaron Burrage has never played A Grade for Halls Head — this entry has been corrected to **Andrew Pasco** who has 5 A Grade games on record.
- Cap #214 (Elliot Ireland) had a single A Grade game in the MyCricket records, but this was confirmed as a data error by the club. The stat has been removed from the player database. The cap entry is retained in the register but marked as having no stats.
- Players whose names appeared in slightly different forms across systems have been resolved (e.g. Matt vs Matthew, Mick vs Michael, spelling variants like Stanley vs Staney). The full mapping is preserved in `cap_register.json` via the `stats_name_variant` field where applicable.
- **Outstanding**: Trevor Allen appears in A Grade stats (23 games, 706 runs, 25 wickets) but is not in the cap register. This is being investigated — he may be a preferred-name variant for another listed player (potentially Wayne Allen, cap #36), or a separate person who needs their own cap number. Leave him out of the register for now pending club confirmation.

### Suggested table structure

| Cap # | Player Name | A Grade Games | Status |
|-------|-------------|---------------|--------|
| 1     | Mark Rowe   | 140           | ✓ on record |
| 7     | Ian Mackintosh ✝ | 18      | ✓ on record |
| 8     | Luke Carruthers | —          | ○ pre-digital |
| ...   | ...         | ...           | ...    |

Player names should link to their player profile page when `in_stats == true`. Names with `in_stats == false` should be rendered in a dimmer text style and remain non-clickable.

### Full cap list

_247 entries — Cap #1 through Cap #247_

| Cap # | Player | A Grade Games | Status |
|-------|--------|---------------|--------|
| 1 | Mark Rowe | 140 | ✓ on record |
| 2 | Shane Shanahan | 100 | ✓ on record |
| 3 | Jeffery Dillon | 51 | ✓ on record |
| 4 | Wayne Morrison | 20 | ✓ on record |
| 5 | Paul Gillam | 188 | ✓ on record |
| 6 | Ashley Smith | 11 | ✓ on record |
| 7 | Ian Mackintosh ✝ | 18 | ✓ on record |
| 8 | Luke Carruthers | — | ○ pre-digital |
| 9 | Roger Wren | 217 | ✓ on record |
| 10 | Anthony Gieke | — | ○ pre-digital |
| 11 | Brendan Cullinan | — | ○ pre-digital |
| 12 | Greg Chalker | 23 | ✓ on record |
| 13 | Wayne Stevenson | 15 | ✓ on record |
| 14 | Jamie Malycha | 23 | ✓ on record |
| 15 | Donald Skipworth | — | ○ pre-digital |
| 16 | Peter Wyllie | 260 | ✓ on record |
| 17 | Peter McKell | — | ○ pre-digital |
| 18 | Brad Flett | — | ○ pre-digital |
| 19 | Frank Farnsworth | — | ○ pre-digital |
| 20 | Dennis Bland | — | ○ pre-digital |
| 21 | Laurie Cross | 100 | ✓ on record |
| 22 | Rob Romeo | 11 | ✓ on record |
| 23 | Travis Jones | — | ○ pre-digital |
| 24 | Steve Lane | — | ○ pre-digital |
| 25 | Eddie Butler | — | ○ pre-digital |
| 26 | Rob Lawson | 14 | ✓ on record |
| 27 | Alan Birmingham | 12 | ✓ on record |
| 28 | Michael Carlton | 47 | ✓ on record |
| 29 | Ray Smith ✝ | — | ○ pre-digital |
| 30 | Adam Bowyer | — | ○ pre-digital |
| 31 | Jeff Sommors | — | ○ pre-digital |
| 32 | Aaron Fitzpatrick | — | ○ pre-digital |
| 33 | Chris Phelps | 372 | ✓ on record |
| 34 | Martin Crump | — | ○ pre-digital |
| 35 | Ian Conn | — | ○ pre-digital |
| 36 | Wayne Allen | — | ○ pre-digital |
| 37 | Glen Tunstall | — | ○ pre-digital |
| 38 | Michael O'Brian | 68 | ✓ on record |
| 39 | Steve Taylor | — | ○ pre-digital |
| 40 | Stuart Ball | 11 | ✓ on record |
| 41 | Brian Cullen ✝ | 19 | ✓ on record |
| 42 | Justin Lockyer | — | ○ pre-digital |
| 43 | Dale King | — | ○ pre-digital |
| 44 | Allan Willey | 127 | ✓ on record |
| 45 | Peter Hunter | 28 | ✓ on record |
| 46 | Max Crook | 42 | ✓ on record |
| 47 | Phil Bailey | — | ○ pre-digital |
| 48 | Matt Brooks | — | ○ pre-digital |
| 49 | Ben Dell | — | ○ pre-digital |
| 50 | Chris Baker | 105 | ✓ on record |
| 51 | Colin Hunter | — | ○ pre-digital |
| 52 | Leigh Burns | 162 | ✓ on record |
| 53 | Dale Burns | 239 | ✓ on record |
| 54 | Matt Blackwell | — | ○ pre-digital |
| 55 | Dan Mather | — | ○ pre-digital |
| 56 | Mick Stanley | 18 | ✓ on record |
| 57 | Colin Birdsall | — | ○ pre-digital |
| 58 | Robbie Leahy | — | ○ pre-digital |
| 59 | Billy Miles | — | ○ pre-digital |
| 60 | Darryl Morgan | 73 | ✓ on record |
| 61 | Peter Moir | — | ○ pre-digital |
| 62 | Craig Threlfall | 27 | ✓ on record |
| 63 | Peter Radcliffe | 52 | ✓ on record |
| 64 | A Davidson | — | ○ pre-digital |
| 65 | Dale Gumbleton | 28 | ✓ on record |
| 66 | Phil Wirth | — | ○ pre-digital |
| 67 | Dan Buncle | — | ○ pre-digital |
| 68 | Chris Wren | — | ○ pre-digital |
| 69 | Wayne Reid | 123 | ✓ on record |
| 70 | Ben March | — | ○ pre-digital |
| 71 | Scott Layton | — | ○ pre-digital |
| 72 | Ryan Ballard | — | ○ pre-digital |
| 73 | Ken Gillam | — | ○ pre-digital |
| 74 | Ryan Burns | 53 | ✓ on record |
| 75 | David McCormack | — | ○ pre-digital |
| 76 | Ron Coles | 29 | ✓ on record |
| 77 | Rian Elliot | 18 | ✓ on record |
| 78 | Mark Chapelhow ✝ | 80 | ✓ on record |
| 79 | Shannon Kirby | — | ○ pre-digital |
| 80 | Chris Hickman | — | ○ pre-digital |
| 81 | Nigel Coe | — | ○ pre-digital |
| 82 | Brian O'Donnell | — | ○ pre-digital |
| 83 | Ray Smedley | — | ○ pre-digital |
