A GRADE,,A GRADE,,A GRADE,,A GRADE,,B GRADE,,A GRADE,,B GRADE,,A GRADE,,B GRADE,,A GRADE
RUSHTON PARK,,RUSHTON PARK,,RUSHTON PARK,,RUSHTON PARK,,PEELWOOD #2,,WAROONA,,PEELWOOD #2,,PEELWOOD #1,,PEELWOOD #2,,PEELWOOD #1
14/03/1992,,1/04/1995,,30/03/1996,,22/03/1997,,22/03/1997,,28/03/1998,,28/03/1998,,27/03/1999,,27/03/1999,,31/03/2001
,,,,,,,,,,,,,,,,,,
SHANE SHANAHAN,,LAURIE CROSS,,SHANE SHANAHAN,,LEIGH BURNS,,PETER HUNTER,,LEIGH BURNS,,LAURIE CROSS,,SHANE SHANAHAN,,CHRIS BAKER (CAPT),,DALE BURNS
JEFF DILLON,,JEFF DILLON,,LAURIE CROSS,,CHRIS PHELPS,,LAURIE CROSS,,DARRYL MORGAN,,PHIL BAILEY,,LEIGH BURNS,,BRIAN CULLEN,,CHRIS PHELPS
IAN MACKINTOSH,,MARK ROWE,,CHRIS PHELPS,,PAUL GILLAM,,PHIL BAILEY,,MAX CROOK,,MARK ROWE,,LAURIE CROSS,,MARTIN CRUMP,,PETER WYLLIE
PAUL GILLAM,,PAUL GILLAM,,IAN MACKINTOSH,,DALE BURNS,,JEFF DILLON,,CHRIS BAKER,,MICK O'BRIEN,,PAUL GILLAM,,DON SKIPWORTH,,LEIGH BURNS (CAPT)
PETER WYLLIE,,PETER WYLLIE (CAPT),,PAUL GILLAM,,PETER WYLLIE (CAPT),,MICK O'BRIEN,,DALE BURNS (CAPT),,ROBBIE LEAHY,,PETER WYLLIE,,PETER RADCLIFFE,,RIAN ELLIOT
MARK ROWE (CAPT),,SHANE SHANAHAN,,PETER WYLLIE (CAPT),,WAYNE REID,,MARTIN CRUMP (CAPT),,PAUL GILLAM,,STEVE COX,,ROBBIE LEAHY,,BEN MARCH,,NIGEL COE
ASHLEY SMITH,,RAY SMITH,,WAYNE REID,,MAX CROOK,,BRIAN CULLEN,,PETER WYLLIE,,MARTIN CRUMP (CAPT),,WAYNE REID,,IAN WALLACE,,PAUL GILLAM
WAYNE STEVENSON,,WAYNE REID,,MAX CROOK,,MARK ROWE,,JUSTIN LOCKYER,,SHANE SHANAHAN,,IAN WALLACE,,CRAIG THRELFALL,,PHIL WIRTH,,MARK ROWE
WAYNE MORRISON,,CHRIS PHELPS,,MARK ROWE,,CHRIS BAKER,,IAN WALLACE,,WAYNE REID,,JUSTIN LOCKYER,,DARRYL MORGAN,,CHRIS WREN,,RON COLES
JAMIE MALAYCHA,,MICK O'BRIEN,,ALLAN WILLEY,,ALLAN WILLEY,,DENNIS BLAND,,ALLAN WILLEY,,RICHIE STEVENSON,,ALLAN WILLEY,,MICK STANLEY,,WAYNE REID
ROGER WREN,,ROGER WREN,,ROGER WREN,,ROGER WREN,,RICHIE STEVENSON,,ROGER WREN,,MICK STANLEY,,ROGER WREN (CAPT),,DEAN PATTERSON,,ALLAN WILLEY
,,,,,,,,,,,,,,,,,,ROGER WREN
M.O.M - PETER WYLLIE,,M.O.M - PAUL GILLAM,,M.O.M - ALLAN WILLEY,,M.O.M - PAUL GILLAM,,M.O.M - PHIL BAILEY,,M.O.M - PETER WYLLIE,,M.O.M - LAURIE CROSS,,M.O.M - LAURIE CROSS,,M.O.M - DON SKIPWORTH,,
,,,,,,,,,,,,,,,,,,M.O.M - DALE BURNS
HALLS HEAD 4/191,,HALLS HEAD 5/170,,HALLS HEAD 8/191,,HALLS HEAD 5/127,,HALLS HEAD 6/173,,HALLS HEAD 9/158,,HALLS HEAD 8/177,,HALLS HEAD 6/103,,HALLS HEAD 163,,
DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,DEF,,TIED,,HALLS HEAD 137
ROCKINGHAM 185,,MANDURAH 168,,MANDURAH 132,,MANDURAH 124,,WAROONA 8/171,,OLD IRWINIANS 156,,OLD IRWINIANS 156,,WAROONA 102,,OLD IRWINIANS 163,,DEF
,,,,,,,,,,,,,,,,,,WAROONA 106
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
B GRADE,,A GRADE,,B GRADE,,A GRADE,,A GRADE,,A GRADE,,B GRADE,,A GRADE,,C GRADE,,A GRADE
PEELWOOD #2,,WARNBRO #1,,WARNBRO #2,,PEELWOOD #1,,PEELWOOD #1,,STAN TWIGHT EAST,,CAREEBA,,PEELWOOD #1,,SINGLETON NORTH,,STAN TWIGHT EAST
31/03/2001,,23/03/2002,,23/03/2002,,29/03/2003,,19/03/2005,,25/03/2006,,25/03/2006,,24/03/2007,,15/03/2008,,23/03/2009
,,,,,,,,,,,,,,,,,,
CHRIS BAKER,,DALE BURNS,,RAY SMEDLEY,,DALE BURNS,,DALE BURNS,,CARY GREEN,,DARREN JEFFREY,,DALE BURNS,,DARREN JEFFREY (CAPT),,DAVE LOVELL
AARON FITZPATRICK,,PETER RADCLIFFE,,BRAD SMITH,,TREVOR ANNING,,MARK CHAPELHOW,,NATHAN HOGG,,MITCH GREEN,,LEIGH BURNS,,DEAN FINLAY,,BRENNAN GILLAM
PETER RADCLIFFE,,LEIGH BURNS (CAPT),,MARK CHAPELHOW,,MARK CHAPELHOW,,CHRIS PHELPS,,BRENDON KING (CAPT),,IAN BRAY,,MARK CHAPELHOW,,PETER WYLLIE,,CHRIS PHELPS (CAPT)
RAY SMEDLEY,,CHRIS PHELPS,,BRIAN O'DONNELL,,LEIGH BURNS (CAPT),,MICHAEL HOLMES,,DALE BURNS,,CHRIS BAKER,,BRENDON KING,,ANDREW KELMAN,,BRENDON KING
IAN BRAY,,PETER WYLLIE,,IAN BRAY,,CHRIS PHELPS,,PETER WYLLIE,,PETER WYLLIE,,DARRYL MORGAN,,PETER WYLLIE,,KARAN MEHTA,,DALE BURNS
DON SKIPWORTH,,RON COLES,,JUSTIN LOCKYER (CAPT),,DAVID LOVELL,,BRENDON KING (CAPT),,CHRIS PHELPS,,DEAN FRISKIN,,CHRIS PHELPS (CAPT),,MARTIN CRUMP,,MITCH MORLEY
ROB LAWSON,,MARK ROWE,,ROB LAWSON,,PETER WYLLIE,,PAUL GILLAM,,MICHAEL HOLMES,,KARAN MEHTA,,CRAIG WHITE,,ROD TREGENZA,,JOSH PETERSON
BRIAN O'DONNELL,,WAYNE REID,,DON SKIPWORTH,,WAYNE REID,,CRAIG WHITE,,MARK CHAPELHOW,,MICHAEL GRIFFITHS,,MICK CARLTON,,CHRIS BAKER,,GRANT MATTHEWS
