match_id,playhq_match_id,season,parent_grade,competition,round,match_date,team1,team2,opponent_name,opponent_club_id,halls_head_innings_no,opposition_innings_no,batted_first,halls_head_batted_first,innings_shift_applied,innings_renumbered
1,,2025/26,D,D Grade Ritchie Cup,Round 11,"12:30 PM, Saturday, 07 Feb 2026",Halls Head Cricket Club,Mandurah Cricket Club,Mandurah Cricket Club,6,1,2,Halls Head Cricket Club,yes,0,no
2,,2024/25,B,B Grade: McIntosh Cup,Round 10,"12:15 PM, Saturday, 01 Feb 2025",Halls Head Cricket Club,Warnbro Swans Cricket Club,Warnbro Swans Cricket Club,7,1,2,Halls Head Cricket Club,yes,0,no
3,,2023/24,B,B Grade: McIntosh Cup,Round 1,"12:00 PM, Saturday, 07 Oct 2023",Shoalwater Bay Cricket Club,Halls Head Cricket Club,Shoalwater Bay Cricket Club,5,2,1,Shoalwater Bay Cricket Club,no,0,no
4,,2023/24,PPL,Retravision T20 Peel Premier League,Semi Finals,"06:30 PM, Tuesday, 20 Feb 2024",Halls Head Cricket Club,Curtin Victoria Park Cricket Club,Curtin Victoria Park Cricket Club,17,1,2,Halls Head Cricket Club,yes,0,no
5,,2024/25,B,B Grade: McIntosh Cup,Grand Final,"12:15 PM, Saturday, 22 Mar 2025",Halls Head Cricket Club,Secret Harbour Dockers Cricket Club,Secret Harbour Dockers Cricket Club,11,1,2,Halls Head Cricket Club,yes,0,no
6,,2024/25,B,B Grade: McIntosh Cup,Preliminary Final,"12:15 PM, Saturday, 15 Mar 2025",Halls Head Cricket Club,Warnbro Swans Cricket Club,Warnbro Swans Cricket Club,7,1,2,Halls Head Cricket Club,yes,0,no
7,,2025/26,A,A Grade: Wyllie Cup,Round 6,"12:15 PM, Saturday, 08 Nov 2025",Secret Harbour Dockers Cricket Club,Halls Head Cricket Club,Secret Harbour Dockers Cricket Club,11,2,1,Secret Harbour Dockers Cricket Club,no,0,no
8,,2025/26,F,F Grade,Round 17,"12:50 PM, Saturday, 21 Feb 2026",Halls Head Cricket Club,Singleton Irwinians Cricket Club,Singleton Irwinians Cricket Club,9,1,2,Halls Head Cricket Club,yes,0,no
9,,2025/26,F,F Grade,Round 10,"12:50 PM, Saturday, 13 Dec 2025",Waroona Cricket Club,Halls Head Cricket Club,Waroona Cricket Club,4,2,1,Waroona Cricket Club,no,0,no
10,,2023/24,F,Mid-Year T20 F Grade,Round 1,"03:00 PM, Saturday, 25 Nov 2023",Singleton Irwinians Cricket Club,Halls Head Cricket Club,Singleton Irwinians Cricket Club,9,2,1,Singleton Irwinians Cricket Club,no,0,no
11,,2025/26,E,E Grade,Round 7,"12:50 PM, Saturday, 15 Nov 2025",Halls Head Cricket Club,Secret Harbour Dockers Cricket Club,Secret Harbour Dockers Cricket Club,11,1,2,Halls Head Cricket Club,yes,0,no
12,,2024/25,A,A Grade: Wyllie Cup,Round 10,"12:15 PM, Saturday, 14 Dec 2024",Halls Head Cricket Club,White Knights Baldivis Cricket Club,White Knights Baldivis Cricket Club,3,1,2,Halls Head Cricket Club,yes,0,no
13,,2024/25,U21 Colts,PCA Colts Competition,Round 3,"12:30 PM, Sunday, 03 Nov 2024",Halls Head Cricket Club,Rockingham Hornets Cricket Club,Rockingham Hornets Cricket Club,10,1,2,Halls Head Cricket Club,yes,0,no
14,,2025/26,A,A Grade: Wyllie Cup,Round 9,"12:20 PM, Saturday, 06 Dec 2025",Halls Head Cricket Club,White Knights Baldivis Cricket Club,White Knights Baldivis Cricket Club,3,1,2,Halls Head Cricket Club,yes,0,no
