Year,Grade,Competition,Venue,Match Date,Result,Man of the Match,Player,Captain,Batting Order
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,SHANE SHANAHAN,,1
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,JEFF DILLON,,2
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,IAN MACKINTOSH,,3
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,PAUL GILLAM,,4
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,PETER WYLLIE,,5
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,MARK ROWE,Yes,6
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,ASHLEY SMITH,,7
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,WAYNE STEVENSON,,8
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,WAYNE MORRISON,,9
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,JAMIE MALAYCHA,,10
1992,A Grade,A GRADE,RUSHTON PARK,1992-03-14,Halls Head 4/191 def ROCKINGHAM 185,PETER WYLLIE,ROGER WREN,,11
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,LAURIE CROSS,,1
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,JEFF DILLON,,2
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,MARK ROWE,,3
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,PAUL GILLAM,,4
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,PETER WYLLIE,Yes,5
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,SHANE SHANAHAN,,6
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,RAY SMITH,,7
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,WAYNE REID,,8
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,CHRIS PHELPS,,9
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,MICK O'BRIEN,,10
1995,A Grade,A GRADE,RUSHTON PARK,1995-04-01,Halls Head 5/170 def MANDURAH 168,PAUL GILLAM,ROGER WREN,,11
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,SHANE SHANAHAN,,1
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,LAURIE CROSS,,2
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,CHRIS PHELPS,,3
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,IAN MACKINTOSH,,4
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,PAUL GILLAM,,5
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,PETER WYLLIE,Yes,6
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,WAYNE REID,,7
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,MAX CROOK,,8
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,MARK ROWE,,9
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,ALLAN WILLEY,,10
1996,A Grade,A GRADE,RUSHTON PARK,1996-03-30,Halls Head 8/191 def MANDURAH 132,ALLAN WILLEY,ROGER WREN,,11
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,LEIGH BURNS,,1
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,CHRIS PHELPS,,2
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,PAUL GILLAM,,3
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,DALE BURNS,,4
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,PETER WYLLIE,Yes,5
1997,A Grade,A GRADE,RUSHTON PARK,1997-03-22,Halls Head 5/127 def MANDURAH 124,PAUL GILLAM,WAYNE REID,,6
